"Source:","D:\Projects\FlexBandage\FlexBandage.sch"
"Date:","1/5/2024 10:55:11 PM"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","ANT1","ANT3216LL00R2400A","flexBand:ANT3216LL00R2400A","FlexBandage:ANT3216LL00R2400A",""
"","","BT1","Battery_Cell","Device:Battery_Cell","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~"
"","","C1","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C2","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C3","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C4","6pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C5","6pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C6","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C7","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C8","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C9","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","D1","4148","Device:D_Small","Diode_SMD:D_SOD-523","~"
"","","D2","4148","Device:D_Small","Diode_SMD:D_SOD-523","~"
"","","D3","4148","Device:D_Small","Diode_SMD:D_SOD-523","~"
"","","J1","FFC3B07-04-T","flexBand:FFC3B07-04-T","FlexBandage:GCT_FFC3B07-04-T",""
"","","R1","10K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R2","R0","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R3","47.5K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R4","10K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R5","10K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R6","1K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R7","1K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R8","1K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R9","10K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R10","4.7K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R11","1M","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","R12","4.7K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"","","S1","EVQPLDA15","flexBand:EVQPLDA15","FlexBandage:EVQPLDA15",""
"","","U1","ESP32-C3FH4","flexBand:ESP32-C3FH4","FlexBandage:ESP",""
"","","U2","MCP73831-2-OT","Battery_Management:MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
"","","U3","TMP117","flexBand:TMP117","FlexBandage:BGA6N40P3X2_146X96X50N",""
"","","U4","MIC5504-3.3YMT-T5","flexBand:MIC5504-3.3YMT-T5","FlexBandage:VREG_MIC5504-3.3YMT-TZ",""
"","","Y1","ECS-400-10-37B-CKY-TR3","flexBand:ECS-400-10-37B-CKY-TR3","FlexBandage:XTAL_ECS-160-9-37-CKM-TR",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","ANT1","ANT3216LL00R2400A","flexBand:ANT3216LL00R2400A","FlexBandage:ANT3216LL00R2400A",""
"2","1","BT1","Battery_Cell","Device:Battery_Cell","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~"
"3","1","C1","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"4","6","C2, C3, C6, C7, C9, C10","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"5","2","C4, C5","6pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"6","1","C8","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"7","3","D1, D2, D3","4148","Device:D_Small","Diode_SMD:D_SOD-523","~"
"8","1","J1","FFC3B07-04-T","flexBand:FFC3B07-04-T","FlexBandage:GCT_FFC3B07-04-T",""
"9","4","R1, R4, R5, R9","10K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"10","1","R2","R0","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"11","1","R3","47.5K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"12","3","R6, R7, R8","1K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"13","2","R10, R12","4.7K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"14","1","R11","1M","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~"
"15","1","S1","EVQPLDA15","flexBand:EVQPLDA15","FlexBandage:EVQPLDA15",""
"16","1","U1","ESP32-C3FH4","flexBand:ESP32-C3FH4","FlexBandage:ESP",""
"17","1","U2","MCP73831-2-OT","Battery_Management:MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
"18","1","U3","TMP117","flexBand:TMP117","FlexBandage:BGA6N40P3X2_146X96X50N",""
"19","1","U4","MIC5504-3.3YMT-T5","flexBand:MIC5504-3.3YMT-T5","FlexBandage:VREG_MIC5504-3.3YMT-TZ",""
"20","1","Y1","ECS-400-10-37B-CKY-TR3","flexBand:ECS-400-10-37B-CKY-TR3","FlexBandage:XTAL_ECS-160-9-37-CKM-TR",""
